gene_id,transcript_id
ENSG00000004455,ENST00000480134
ENSG00000004455,ENST00000354858
ENSG00000004961,ENST00000380762
ENSG00000004961,ENST00000380763
ENSG00000005156,ENST00000378526
ENSG00000005156,ENST00000262327
ENSG00000005882,ENST00000007708
ENSG00000005882,ENST00000503176
ENSG00000006744,ENST00000395962
ENSG00000006744,ENST00000338034
ENSG00000019186,ENST00000216862
ENSG00000019186,ENST00000395955
ENSG00000021826,ENST00000233072
ENSG00000021826,ENST00000451903
ENSG00000021826,ENST00000430249
ENSG00000030110,ENST00000374467
ENSG00000030110,ENST00000442998
ENSG00000049883,ENST00000503868
ENSG00000049883,ENST00000543322
ENSG00000059573,ENST00000371224
ENSG00000059573,ENST00000371221
ENSG00000063176,ENST00000245222
ENSG00000063176,ENST00000599748
ENSG00000064012,ENST00000323492
ENSG00000064012,ENST00000358485
ENSG00000066813,ENST00000414188
ENSG00000066813,ENST00000565322
ENSG00000066813,ENST00000329697
ENSG00000069998,ENST00000336737
ENSG00000069998,ENST00000155674
ENSG00000073578,ENST00000510361
ENSG00000073578,ENST00000264932
ENSG00000075415,ENST00000547534
ENSG00000075415,ENST00000551917
ENSG00000076248,ENST00000336865
ENSG00000076248,ENST00000242576
ENSG00000082212,ENST00000321341
ENSG00000082212,ENST00000382927
ENSG00000083099,ENST00000523377
ENSG00000083099,ENST00000520318
ENSG00000083123,ENST00000320393
ENSG00000083123,ENST00000356489
ENSG00000085760,ENST00000263629
ENSG00000085760,ENST00000394600
ENSG00000087088,ENST00000345358
ENSG00000087088,ENST00000293288
ENSG00000097021,ENST00000608083
ENSG00000097021,ENST00000377845
ENSG00000100033,ENST00000357068
ENSG00000100033,ENST00000334029
ENSG00000101365,ENST00000380843
ENSG00000101365,ENST00000380851
ENSG00000102078,ENST00000218197
ENSG00000102078,ENST00000339231
ENSG00000102078,ENST00000424447
ENSG00000103121,ENST00000565650
ENSG00000103121,ENST00000565108
ENSG00000104325,ENST00000220764
ENSG00000104325,ENST00000522161
ENSG00000104765,ENST00000380629
ENSG00000104765,ENST00000518611
ENSG00000104936,ENST00000343373
ENSG00000104936,ENST00000354227
ENSG00000104936,ENST00000447742
ENSG00000105327,ENST00000341983
ENSG00000105327,ENST00000439096
ENSG00000105793,ENST00000222511
ENSG00000105793,ENST00000257659
ENSG00000108439,ENST00000225573
ENSG00000108439,ENST00000434554
ENSG00000109180,ENST00000396448
ENSG00000109180,ENST00000511102
ENSG00000109576,ENST00000337664
ENSG00000109576,ENST00000353187
ENSG00000110011,ENST00000321460
ENSG00000110011,ENST00000321685
ENSG00000111058,ENST00000548058
ENSG00000111058,ENST00000261206
ENSG00000112031,ENST00000367233
ENSG00000112031,ENST00000367231
ENSG00000112234,ENST00000369244
ENSG00000112234,ENST00000229971
ENSG00000112695,ENST00000370089
ENSG00000112695,ENST00000472311
ENSG00000113492,ENST00000231420
ENSG00000113492,ENST00000510428
ENSG00000114120,ENST00000446041
ENSG00000114120,ENST00000324194
ENSG00000114956,ENST00000629438
ENSG00000114956,ENST00000264093
ENSG00000115419,ENST00000320717
ENSG00000115419,ENST00000338435
ENSG00000116288,ENST00000338639
ENSG00000116288,ENST00000377493
ENSG00000116353,ENST00000373791
ENSG00000116353,ENST00000263702
ENSG00000116459,ENST00000369722
ENSG00000116459,ENST00000483994
ENSG00000116882,ENST00000325945
ENSG00000116882,ENST00000361035
ENSG00000116882,ENST00000622548
ENSG00000117009,ENST00000366559
ENSG00000117009,ENST00000366558
ENSG00000117481,ENST00000474844
ENSG00000117481,ENST00000537428
ENSG00000118246,ENST00000402774
ENSG00000118246,ENST00000236980
ENSG00000119431,ENST00000374180
ENSG00000119431,ENST00000238379
ENSG00000119673,ENST00000613168
ENSG00000119673,ENST00000238651
ENSG00000119723,ENST00000334571
ENSG00000119723,ENST00000394026
ENSG00000119912,ENST00000371581
ENSG00000119912,ENST00000265986
ENSG00000120254,ENST00000367321
ENSG00000120254,ENST00000367307
ENSG00000120662,ENST00000379477
ENSG00000120662,ENST00000379480
ENSG00000121057,ENST00000337714
ENSG00000121057,ENST00000539273
ENSG00000121310,ENST00000371522
ENSG00000121310,ENST00000358358
ENSG00000122033,ENST00000381120
ENSG00000122033,ENST00000405591
ENSG00000122378,ENST00000372185
ENSG00000122378,ENST00000372187
ENSG00000123130,ENST00000379303
ENSG00000123130,ENST00000336430
ENSG00000123453,ENST00000439388
ENSG00000123453,ENST00000371868
ENSG00000123472,ENST00000574428
ENSG00000123472,ENST00000576409
ENSG00000123815,ENST00000324464
ENSG00000123815,ENST00000243583
ENSG00000124615,ENST00000373195
ENSG00000124615,ENST00000373188
ENSG00000125375,ENST00000554438
ENSG00000125375,ENST00000426751
ENSG00000125454,ENST00000416858
ENSG00000125454,ENST00000402418
ENSG00000125741,ENST00000263275
ENSG00000125741,ENST00000323060
ENSG00000125779,ENST00000610179
ENSG00000125779,ENST00000621507
ENSG00000125871,ENST00000377710
ENSG00000125871,ENST00000377709
