"gene_id","Adipose - Subcutaneous","Adipose - Visceral (Omentum)","Adrenal Gland","Artery - Aorta","Artery - Coronary","Artery - Tibial","Bladder","Brain - Amygdala","Brain - Anterior cingulate cortex (BA24)","Brain - Caudate (basal ganglia)","Brain - Cerebellar Hemisphere","Brain - Cerebellum","Brain - Cortex","Brain - Frontal Cortex (BA9)","Brain - Hippocampus","Brain - Hypothalamus","Brain - Nucleus accumbens (basal ganglia)","Brain - Putamen (basal ganglia)","Brain - Spinal cord (cervical c-1)","Brain - Substantia nigra","Breast - Mammary Tissue","Cells - Cultured fibroblasts","Cells - EBV-transformed lymphocytes","Cervix - Ectocervix","Cervix - Endocervix","Colon - Sigmoid","Colon - Transverse","Colon - Transverse - Mixed Cell","Colon - Transverse - Mucosa","Colon - Transverse - Muscularis","Esophagus - Gastroesophageal Junction","Esophagus - Mucosa","Esophagus - Muscularis","Fallopian Tube","Heart - Atrial Appendage","Heart - Left Ventricle","Kidney - Cortex","Kidney - Medulla","Liver","Liver - Hepatocyte","Liver - Mixed Cell","Liver - Portal Tract","Lung","Minor Salivary Gland","Muscle - Skeletal","Nerve - Tibial","Ovary","Pancreas","Pancreas - Acini","Pancreas - Islets","Pancreas - Mixed Cell","Pituitary","Prostate","Skin - Not Sun Exposed (Suprapubic)","Skin - Sun Exposed (Lower leg)","Small Intestine - Terminal Ileum","Small Intestine - Terminal Ileum - Lymphoid Aggregate","Small Intestine - Terminal Ileum - Mixed Cell","Spleen","Stomach","Stomach - Mixed Cell","Stomach - Mucosa","Stomach - Muscularis","Testis","Thyroid","Uterus","Vagina","Whole Blood"
"ENSG00000021826.18","MTS_positive","MTS_positive",NA,"MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive",NA,NA,NA,NA,NA,NA,NA,"MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive",NA,NA,NA,NA,"MTS_positive",NA,NA,NA,NA,NA,NA,"MTS_positive",NA,NA,"MTS_negative","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive",NA,"MTS_negative",NA,NA,NA,NA,"MTS_positive","MTS_positive","MTS_positive",NA,"MTS_positive","MTS_positive",NA,NA,NA,"MTS_negative",NA,"MTS_positive","MTS_positive",NA,NA
"ENSG00000023228.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTS_positive",NA,NA,NA,NA,NA,NA,"MTS_negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTS_negative","MTS_negative","MTS_negative",NA,NA,NA,NA,NA,NA,"MTS_negative","MTS_negative","MTS_negative",NA,NA,NA,NA,NA,"MTS_negative",NA,NA,NA,"MTS_negative","MTS_negative",NA,NA,NA,NA,NA,NA
"ENSG00000066813.14",NA,NA,NA,"MTS_negative",NA,"MTS_negative","MTS_positive",NA,NA,NA,NA,"MTS_negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTS_positive",NA,NA,NA,"MTS_negative",NA,"MTS_positive",NA,"MTS_negative",NA,NA,"MTS_positive",NA,"MTS_positive",NA,NA,"MTS_negative","MTS_negative","MTS_negative",NA,"MTS_negative",NA,"MTS_negative","MTS_negative",NA,"MTS_positive","MTS_negative",NA,"MTS_negative","MTS_negative","MTS_negative","MTS_negative",NA,"MTS_positive","MTS_negative","MTS_negative","MTS_negative","MTS_negative",NA,NA,NA,NA,NA,NA,"MTS_negative"
"ENSG00000076248.11","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive",NA,"MTS_negative","MTS_positive","MTS_positive","MTS_positive",NA,NA,NA,"MTS_positive","MTS_positive",NA,"MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive",NA,"MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive","MTS_positive",NA,"MTS_positive",NA,"MTS_positive","MTS_positive","MTS_positive","MTS_positive",NA,NA,NA,NA,"MTS_positive","MTS_positive",NA,"MTS_positive",NA,"MTS_positive","MTS_positive","MTS_positive",NA
"ENSG00000110011.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTS_negative","MTS_negative","MTS_negative","MTS_negative","MTS_negative",NA,NA,NA,NA,NA,NA,NA,NA,"MTS_negative","MTS_negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTS_negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTS_positive",NA,NA,NA,"MTS_negative"
"ENSG00000112096.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTS_negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTS_positive",NA,"MTS_positive",NA,NA,NA,NA,NA,"MTS_positive","MTS_positive","MTS_positive","MTS_positive",NA,NA,NA,NA,NA,"MTS_positive",NA,NA,NA,NA,"MTS_positive",NA,NA,NA,NA,NA,"MTS_positive"
"ENSG00000119673.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTS_negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTS_positive","MTS_positive",NA,NA,NA,NA,NA,NA,NA,NA,"MTS_positive",NA,NA,NA,NA,NA,NA,"MTS_negative",NA,NA,NA,NA,"MTS_negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000119912.18",NA,NA,NA,NA,NA,NA,NA,"MTS_negative","MTS_negative","MTS_negative",NA,NA,NA,NA,"MTS_negative","MTS_negative","MTS_negative","MTS_negative",NA,NA,NA,"MTS_positive","MTS_positive",NA,NA,NA,NA,NA,"MTS_negative","MTS_negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTS_negative",NA,"MTS_negative",NA,NA,NA,NA,NA,NA,"MTS_negative","MTS_negative","MTS_negative","MTS_negative",NA,NA,NA,NA,"MTS_negative","MTS_negative",NA,NA,"MTS_negative","MTS_negative","MTS_negative","MTS_negative",NA,NA,NA,NA
"ENSG00000123453.19","MTS_positive",NA,NA,"MTS_positive","MTS_positive","MTS_positive","MTS_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTS_positive","MTS_positive","MTS_positive",NA,NA,"MTS_positive","MTS_positive","MTS_positive",NA,NA,"MTS_positive",NA,"MTS_positive",NA,"MTS_positive","MTS_positive","MTS_positive","MTS_positive",NA,NA,NA,NA,"MTS_positive","MTS_positive","MTS_positive","MTS_positive",NA,"MTS_positive",NA,NA,"MTS_positive",NA,NA,NA,NA,NA,"MTS_negative",NA,NA,"MTS_positive","MTS_positive","MTS_positive",NA,NA,NA,NA,NA,NA
"ENSG00000135297.17",NA,NA,NA,NA,NA,"MTS_negative",NA,NA,"MTS_negative",NA,NA,NA,"MTS_negative","MTS_negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTS_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTS_positive",NA,NA,"MTS_negative",NA,NA,NA,"MTS_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTS_negative",NA,NA,NA,NA
