# TargetP-2.0	Organism: Non-Plant	Timestamp: 20250420210733
ID	Prediction	OTHER	SP	mTP	CS Position
ENST00000427237	mTP	0.040264	0.000042	0.959694	CS pos: 28-29. CNL-SS. Pr: 0.5135
ENST00000233072	mTP	0.111382	0.005352	0.883266	CS pos: 18-19. RFG-FT. Pr: 0.1727
ENST00000321612	OTHER	0.808574	0.000392	0.191034	
ENST00000268053	mTP	0.265554	0.001678	0.732768	CS pos: 39-40. GAG-IS. Pr: 0.3647
ENST00000376726	mTP	0.019002	0.001025	0.979973	CS pos: 37-38. RRA-AS. Pr: 0.5516
ENST00000415954	OTHER	0.516559	0.000379	0.483062	
ENST00000358632	OTHER	0.999204	0.000311	0.000486	
ENST00000396104	mTP	0.230463	0.012789	0.756748	CS pos: 30-31. RQL-VS. Pr: 0.2958
ENST00000370300	OTHER	0.516559	0.000379	0.483062	
ENST00000371872	mTP	0.040264	0.000042	0.959694	CS pos: 28-29. CNL-SS. Pr: 0.5135
ENST00000307227	mTP	0.100931	0.000762	0.898307	CS pos: 23-24. RFL-AA. Pr: 0.2761
ENST00000492795	mTP	0.100931	0.000762	0.898307	CS pos: 23-24. RFL-AA. Pr: 0.2761
ENST00000498286	OTHER	0.516559	0.000379	0.483062	
ENST00000430249	mTP	0.218129	0.000914	0.780958	CS pos: 24-25. RFG-FT. Pr: 0.2161
ENST00000493112	mTP	0.100931	0.000762	0.898307	CS pos: 23-24. RFL-AA. Pr: 0.2761
ENST00000573854	mTP	0.230463	0.012789	0.756748	CS pos: 30-31. RQL-VS. Pr: 0.2958
ENST00000439388	mTP	0.040264	0.000042	0.959694	CS pos: 28-29. CNL-SS. Pr: 0.5135
ENST00000640208	OTHER	0.568310	0.413337	0.018353	
