"seqnames","start","end","width","strand","source","type","score","phase","gene_id","gene_type","gene_name","level","tag","transcript_id","transcript_type","transcript_name","exon_number","exon_id","transcript_support_level","havana_transcript","hgnc_id","havana_gene","ont","protein_id","ccdsid","artif_dupl"
"chr1",1308597,1311677,3081,"+","HAVANA","transcript",NA,NA,"ENSG00000169972.13","protein_coding","PUSL1","2","CCDS","ENST00000379031.10","protein_coding","PUSL1-201",NA,NA,"1","OTTHUMT00000009438.2","HGNC:26914","OTTHUMG00000003361.4",NA,"ENSP00000368318.5","CCDS20.1",NA
"chr1",1373730,1375157,1428,"-","HAVANA","transcript",NA,NA,"ENSG00000175756.14","protein_coding","AURKAIP1","2","CCDS","ENST00000338370.7","protein_coding","AURKAIP1-203",NA,NA,"1","OTTHUMT00000008273.1","HGNC:24114","OTTHUMG00000001413.3",NA,"ENSP00000342676.3","CCDS25.1",NA
"chr1",1373732,1375169,1438,"-","HAVANA","transcript",NA,NA,"ENSG00000175756.14","protein_coding","AURKAIP1","2","CCDS","ENST00000321751.9","protein_coding","AURKAIP1-201",NA,NA,"2","OTTHUMT00000008277.1","HGNC:24114","OTTHUMG00000001413.3",NA,"ENSP00000319778.5","CCDS25.1",NA
"chr1",1373736,1375207,1472,"-","HAVANA","transcript",NA,NA,"ENSG00000175756.14","protein_coding","AURKAIP1","2","CCDS","ENST00000338338.10","protein_coding","AURKAIP1-202",NA,NA,"1","OTTHUMT00000004082.2","HGNC:24114","OTTHUMG00000001413.3",NA,"ENSP00000340656.5","CCDS25.1",NA
"chr1",1373737,1375173,1437,"-","HAVANA","transcript",NA,NA,"ENSG00000175756.14","protein_coding","AURKAIP1","2","CCDS","ENST00000378853.3","protein_coding","AURKAIP1-204",NA,NA,"2","OTTHUMT00000008274.1","HGNC:24114","OTTHUMG00000001413.3",NA,"ENSP00000368130.3","CCDS25.1",NA
"chr1",1401909,1407293,5385,"-","HAVANA","transcript",NA,NA,"ENSG00000242485.6","protein_coding","MRPL20","2","CCDS","ENST00000344843.12","protein_coding","MRPL20-201",NA,NA,"1","OTTHUMT00000008139.2","HGNC:14478","OTTHUMG00000002916.4",NA,"ENSP00000341082.7","CCDS26.1",NA
"chr1",1402182,1406998,4817,"-","HAVANA","transcript",NA,NA,"ENSG00000242485.6","protein_coding","MRPL20","1","exp_conf","ENST00000492508.1","protein_coding","MRPL20-205",NA,NA,"2","OTTHUMT00000008145.3","HGNC:14478","OTTHUMG00000002916.4",NA,"ENSP00000459994.1",NA,NA
"chr1",1405109,1407290,2182,"-","HAVANA","transcript",NA,NA,"ENSG00000242485.6","protein_coding","MRPL20","2","GENCODE_Primary","ENST00000482352.1","protein_coding","MRPL20-203",NA,NA,"2","OTTHUMT00000008141.2","HGNC:14478","OTTHUMG00000002916.4",NA,"ENSP00000460924.1",NA,NA
"chr1",1471784,1496201,24418,"+","ENSEMBL","transcript",NA,NA,"ENSG00000160072.20","protein_coding","ATAD3B","3","GENCODE_Primary","ENST00000308647.8","protein_coding","ATAD3B-201",NA,NA,"1",NA,"HGNC:24007","OTTHUMG00000000577.6",NA,"ENSP00000311766.8",NA,NA
"chr1",1512162,1534685,22524,"+","HAVANA","transcript",NA,NA,"ENSG00000197785.14","protein_coding","ATAD3A","2","CCDS","ENST00000378756.8","protein_coding","ATAD3A-203",NA,NA,"1","OTTHUMT00000001363.4","HGNC:25567","OTTHUMG00000000575.7",NA,"ENSP00000368031.3","CCDS53259.1",NA
