GeneSymbol,gene_id,transcript_id,MTS_status,Type,Start,Stop,ClinicalSignificance,,PhenotypeList
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210556738,210556738,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|not provided|Inborn genetic diseases"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210556736,210556736,Likely pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210556758,210556758,Pathogenic/Likely pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210556854,210556854,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|Inborn genetic diseases"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210556782,210556782,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210556807,210556807,Conflicting classifications of pathogenicity,,"not provided|Congenital hyperammonemia, type I|Inborn genetic diseases"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210556812,210556812,Likely pathogenic,,"Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210556819,210556819,Likely pathogenic,,"Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210556738,210556738,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|not provided|Inborn genetic diseases"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210556736,210556736,Likely pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210556758,210556758,Pathogenic/Likely pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210556854,210556854,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|Inborn genetic diseases"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210556782,210556782,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210556807,210556807,Conflicting classifications of pathogenicity,,"not provided|Congenital hyperammonemia, type I|Inborn genetic diseases"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210556812,210556812,Likely pathogenic,,"Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210556819,210556819,Likely pathogenic,,"Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210573301,210573301,Pathogenic,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210573338,210573338,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|not specified|not provided|Inborn genetic diseases"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210573357,210573357,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210573366,210573366,Benign/Likely benign,,"Congenital hyperammonemia, type I|not specified|not provided"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210573405,210573405,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210573325,210573325,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|not provided|Inborn genetic diseases"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210573320,210573320,Likely pathogenic,,"Congenital hyperammonemia, type I"
