"gene_id","transcript_id","chr","start","stop","Start","Stop","Type","GeneSymbol","ClinicalSignificance","PhenotypeList"
"ENSG00000004455","ENST00000480134","1",33024442,33024567,33024459,33024459,"single nucleotide variant","AK2","Conflicting classifications of pathogenicity","Reticular dysgenesis|AK2-related disorder|not provided"
"ENSG00000004455","ENST00000354858","1",33021367,33021461,33021406,33021406,"single nucleotide variant","AK2","Conflicting classifications of pathogenicity","not provided|not specified|Reticular dysgenesis|AK2-related disorder"
"ENSG00000004455","ENST00000354858","1",33021367,33021461,33021383,33021383,"single nucleotide variant","AK2","Pathogenic","Reticular dysgenesis"
"ENSG00000005156","ENST00000378526","17",35004273,35009743,35004484,35004484,"single nucleotide variant","LIG3","Conflicting classifications of pathogenicity","not provided|Inborn genetic diseases"
"ENSG00000005156","ENST00000378526","17",35004273,35009743,35004301,35004301,"single nucleotide variant","LIG3","Benign/Likely benign","not specified|Inborn genetic diseases"
"ENSG00000005156","ENST00000378526","17",35004273,35009743,35004366,35004366,"single nucleotide variant","LIG3","Pathogenic","Mitochondrial DNA depletion syndrome 20 (mngie type)"
"ENSG00000005156","ENST00000378526","17",35004273,35009743,35004472,35004472,"single nucleotide variant","LIG3","Pathogenic","Mitochondrial DNA depletion syndrome 20 (mngie type)"
"ENSG00000019186","ENST00000216862","20",54157388,54157585,54157469,54157469,"single nucleotide variant","CYP24A1","Conflicting classifications of pathogenicity","Hypercalcemia, infantile, 1|not provided"
"ENSG00000019186","ENST00000216862","20",54157388,54157585,54157507,54157507,"single nucleotide variant","CYP24A1","Conflicting classifications of pathogenicity","Hypercalcemia, infantile, 1|not provided"
"ENSG00000019186","ENST00000216862","20",54157388,54157585,54157426,54157426,"single nucleotide variant","CYP24A1","Pathogenic","not provided|Hypercalcemia, infantile, 1"
"ENSG00000019186","ENST00000216862","20",54157388,54157585,54157502,54157502,"single nucleotide variant","CYP24A1","Pathogenic","Hypercalcemia, infantile, 1"
"ENSG00000019186","ENST00000216862","20",54157388,54157585,54157498,54157498,"single nucleotide variant","CYP24A1","Likely pathogenic","Hypercalcemia, infantile, 1"
"ENSG00000073578","ENST00000264932","5",225419,225562,225547,225547,"single nucleotide variant","SDHA","Conflicting classifications of pathogenicity","Paragangliomas 5;Mitochondrial complex II deficiency, nuclear type 1|Leigh syndrome|Hereditary pheochromocytoma-paraganglioma|Hereditary cancer-predisposing syndrome|Mitochondrial complex II deficiency, nuclear type 1"
"ENSG00000073578","ENST00000264932","5",225419,225562,225548,225548,"single nucleotide variant","SDHA","Conflicting classifications of pathogenicity","Paragangliomas 5;Mitochondrial complex II deficiency, nuclear type 1|Leigh syndrome|Hereditary pheochromocytoma-paraganglioma|Mitochondrial complex II deficiency, nuclear type 1|Hereditary cancer-predisposing syndrome|not provided|Neurodegeneration with ataxia and late-onset optic atrophy;Paragangliomas 5;Mitochondrial complex II deficiency, nuclear type 1;Dilated cardiomyopathy 1GG|not specified|Dilated cardiomyopathy 1GG"
"ENSG00000073578","ENST00000264932","5",225419,225562,225515,225515,"single nucleotide variant","SDHA","Conflicting classifications of pathogenicity","Paragangliomas 5|not specified|not provided|Mitochondrial complex II deficiency, nuclear type 1;Paragangliomas 5|Hereditary cancer-predisposing syndrome"
"ENSG00000073578","ENST00000264932","5",225419,225562,225559,225559,"single nucleotide variant","SDHA","Conflicting classifications of pathogenicity","Hereditary cancer-predisposing syndrome|not provided|Mitochondrial complex II deficiency, nuclear type 1;Paragangliomas 5|Paragangliomas 5"
"ENSG00000073578","ENST00000264932","5",225419,225562,225560,225560,"single nucleotide variant","SDHA","Conflicting classifications of pathogenicity","Mitochondrial complex II deficiency, nuclear type 1;Paragangliomas 5|Hereditary cancer-predisposing syndrome|Mitochondrial complex II deficiency, nuclear type 1|not provided|Dilated cardiomyopathy 1GG"
"ENSG00000073578","ENST00000264932","5",225419,225562,225462,225462,"single nucleotide variant","SDHA","Pathogenic","Mitochondrial complex II deficiency, nuclear type 1;Paragangliomas 5|Gastrointestinal stromal tumor|Paragangliomas 5|Hereditary cancer-predisposing syndrome|not provided"
"ENSG00000073578","ENST00000264932","5",225419,225562,225560,225560,"single nucleotide variant","SDHA","Pathogenic","Hereditary cancer-predisposing syndrome|Mitochondrial complex II deficiency, nuclear type 1;Paragangliomas 5"
"ENSG00000073578","ENST00000264932","5",225419,225562,225533,225533,"single nucleotide variant","SDHA","Likely pathogenic","Hereditary cancer-predisposing syndrome"
"ENSG00000073578","ENST00000264932","5",225419,225562,225532,225532,"single nucleotide variant","SDHA","Likely pathogenic","Hereditary cancer-predisposing syndrome"
"ENSG00000073578","ENST00000264932","5",225419,225562,225449,225449,"single nucleotide variant","SDHA","Pathogenic","Hereditary cancer-predisposing syndrome"
"ENSG00000073578","ENST00000264932","5",225419,225562,225539,225539,"single nucleotide variant","SDHA","Pathogenic","Paragangliomas 5;Mitochondrial complex II deficiency, nuclear type 1"
"ENSG00000075415","ENST00000551917","12",98595433,98595557,98595490,98595490,"single nucleotide variant","SLC25A3","Pathogenic","Cardiomyopathy-hypotonia-lactic acidosis syndrome"
"ENSG00000075415","ENST00000551917","12",98595433,98595557,98595554,98595554,"single nucleotide variant","SLC25A3","Conflicting classifications of pathogenicity","not specified|not provided"
"ENSG00000075415","ENST00000551917","12",98598522,98598703,98598533,98598533,"single nucleotide variant","SLC25A3","Benign/Likely benign","Cardiomyopathy-hypotonia-lactic acidosis syndrome|not provided"
"ENSG00000075415","ENST00000551917","12",98598522,98598703,98598658,98598658,"single nucleotide variant","SLC25A3","Pathogenic","Cardiomyopathy-hypotonia-lactic acidosis syndrome"
"ENSG00000076248","ENST00000242576","12",109097597,109097811,109097760,109097760,"single nucleotide variant","UNG","Conflicting classifications of pathogenicity","Hyper-IgM syndrome type 5"
"ENSG00000076248","ENST00000242576","12",109097597,109097811,109097715,109097715,"single nucleotide variant","UNG","Conflicting classifications of pathogenicity","Hyper-IgM syndrome type 5"
"ENSG00000100033","ENST00000357068","22",18936015,18936293,18936286,18936286,"single nucleotide variant","PRODH","Likely pathogenic","Schizophrenia 4;Proline dehydrogenase deficiency"
"ENSG00000100033","ENST00000357068","22",18936015,18936293,18936052,18936052,"single nucleotide variant","PRODH","Pathogenic","Proline dehydrogenase deficiency"
"ENSG00000100033","ENST00000357068","22",18936015,18936293,18936269,18936269,"single nucleotide variant","PRODH","Benign/Likely benign","Proline dehydrogenase deficiency|not provided"
